LogOfSumRCR03-06,LogOfSumRCR07-10
1.114659707,0.918174809
0.784573492,0.442093056
1.246680944,1.727321467
1.374144308,1.357874899
0.52057273,0.930215292
1.128748159,1.254667426
0.989791311,0.786088907
1.210849773,1.337403942
1.511941813,1.372715703
2.079214693,1.627133698
1.172724615,1.505600032
1.778454491,1.673491436
0.605073782,1.073130618
1.377186879,0.651987955
1.11918781,1.061342369
0.489171891,0.445464299
0.656283892,0.669106226
0.997649881,1.122033037
0.987870095,1.161000224
0.547174641,0.613441778
1.40212649,1.803368662
0.865184213,0.867844138
1.074236879,0.884904458
0.717594906,0.409025759
0.544715635,0.830440036
0.810531185,1.117257114
1.342734795,0.528331354
0.866453958,0.777651329
1.104775691,1.047846532
1.161790205,1.101639931
0.792371829,0.720741773
1.022330098,1.106567692
1.194829844,1.156196823
0.626738892,0.889891426
0.629598202,1.635067926
0.962410605,0.419752571
1.104480064,1.352876802
0.763747732,1.364046147
0.954666569,1.096135108
0.650645246,1.051132918
1.611690153,1.319645869
1.298477789,1.189187273
1.026357525,1.105805633
0.966104931,1.536725474
0.804228342,1.039243865
0.813869712,0.836204212
0.763454714,0.653160037
0.825352794,0.710309587
1.279779373,1.416740833
0.969219597,1.095624665
0.493113114,0.907124351
1.180634865,0.867276917
1.35819919,0.954799326
1.120531524,0.950468418
1.896648868,2.237642021
0.904824146,0.787250886
1.120995243,1.106929392
1.170502471,1.15187202
1.376103591,1.476406181
1.501741273,1.312257684
1.224097912,0.910859208
0.62101697,0.976991587
0.730823993,0.587397849
1.753104475,1.624015426
0.287389041,0.524185801
1.116879475,1.151084413
1.538227786,1.50680675
0.845321782,1.364255115
0.820620556,1.046022977
1.626339017,0.543443503
1.014273165,1.250713464
1.187310436,1.472882259
1.31587704,1.252787399
0.547394017,0.950885352
1.252623343,1.124529282
1.297265672,1.075642308
0.464754996,0.877587216
1.055181626,1.155440487
0.488982248,0.500606571
0.657459694,0.968582719
0.759416904,0.748468625
0.952543195,0.851947718
0.601994863,1.344607581
0.885501483,0.990520235
0.782940136,0.585353514
1.08277677,1.129265461
1.02856757,0.86643287
0.870524677,0.646085384
0.68266611,0.654368049
1.182156281,1.377422576
1.649903774,1.459798353
1.649922803,1.87179674
1.088031453,1.211232425
0.912303274,1.482826957
1.732851227,1.323393917
1.135175938,1.389461662
1.128775794,0.970261341
1.467869241,1.382931732
1.773905473,1.793813884
1.781712179,1.309383645
1.073699782,0.606623022
1.336190789,1.276818413
0.575453519,0.619463562
1.439003841,1.639955499
1.102312865,1.103131501
1.447192577,1.436689517
1.190151756,1.179945046
0.936402012,0.904852455
1.167740912,1.265199164
0.927995325,1.094285802
0.932395456,0.606485845
0.96699992,0.995352375
1.044515398,0.913116043
0.875220301,1.267311902
0.315120559,0.479676993
0.839860374,0.796679581
1.260038564,0.886206638
1.419992601,1.120205967
0.955795967,0.653397106
1.424478762,1.407762846
1.117234859,1.037883766
0.947332224,0.900411347
1.132568267,1.17496549
0.844737378,1.329345911
0.89158683,0.734159027
0.620633886,0.297651623
1.075978569,0.864929549
1.228650936,0.985263072
1.029032185,1.121197541
0.467600797,0.651593014
1.038528221,2.114567164
1.320964492,0.746901249
1.570890774,1.513447117
0.796263333,0.808103658
0.647637439,1.014207633
1.016066459,1.226154993
1.229917756,1.101500943
0.939411721,0.838443433
1.237910165,1.386467315
0.543026093,0.594589047
1.056782803,1.03578746
1.380685483,1.235404014
0.785373126,0.893891115
1.096953101,0.991068784
1.388738027,1.343424235
0.942302687,1.166293021
1.040113623,1.35971197
0.73001235,0.70688878
0.839592066,0.887555452
0.933434692,1.27994037
0.819937207,1.03097165
0.733449527,0.51593148
0.659270472,0.646977708
1.209814647,1.32090816
0.622943046,0.573118959
1.269413725,1.524008528
0.371120369,1.28841621
0.685609386,0.967189294
1.061030483,0.819026336
1.501755253,1.160488933
1.360892636,1.522841216
1.165037149,0.974906357
1.168254834,1.227624104
1.648162784,1.201433265
0.570927687,0.409445118
0.717755852,0.66109893
1.364358511,1.839811332
0.704299938,0.221825445
1.077522742,0.830570785
0.482165014,0.492335546
0.706378119,0.617230681
1.038934225,1.147650412
1.211378033,1.51494818
1.756937825,1.860064677
0.890782853,0.39089144
0.865968968,0.90984949
1.650583229,1.331538184
0.765003124,0.794519373
0.875612331,1.179956568
0.744936119,0.878089121
1.204807775,1.153729964
0.958905089,1.000266746
1.655792881,1.159563798
1.199326343,1.219906329
0.90205098,1.21829566
0.964258777,0.521983173
1.329758671,1.379762776
0.908235438,1.150992317
1.106129081,0.783846934
1.26977435,1.018169773
1.060688604,0.8599884
1.578666449,1.318772962
0.743073642,0.635160569
0.914208142,1.067987459
1.176690167,1.087522877
0.608096918,0.904843828
1.175044726,0.816717954
1.193730284,1.312653106
0.855941457,1.070153693
1.242473319,1.289904288
0.885752916,0.907020878
0.762367554,0.714219705
0.828478405,0.418899825
1.45923527,1.538649851
1.0747498,0.642995059
1.121009326,1.467281468
0.831600621,0.731254489
0.978331294,1.270020513
1.115125888,1.025910694
1.159349351,0.804966391
0.845382801,0.428076697
1.122560797,0.818193166
0.565473132,0.798582647
1.118980069,1.012393155
0.943729708,1.019394348
1.372249765,1.758530828
0.785407504,0.617872418
0.887546894,1.376239151
1.178930828,1.394400598
1.536199792,1.534205057
0.803613216,0.669459559
1.030322878,1.144059709
1.82660323,1.406913683
0.994273826,1.682596815
0.508194142,0.695948302
1.158840633,1.16860364
0.713021092,0.928451375
1.239813064,0.599036953
1.060384437,1.186768396
1.196302676,1.1666837
1.201035189,1.172043095
0.508984359,0.604799076
0.65154618,1.455760356
1.116914826,0.258372761
1.052585131,1.186588327
0.851006377,0.540862708
1.057614793,1.193660589
0.249129781,-0.034548456
1.000526342,1.112714502
1.130700414,1.343090886
1.270929836,1.340665559
