PI RCR,PI JIF
0.54619592,4.3546
0.406964808,5.744571429
0.378733035,5.760733333
0.456732173,5.64616
0.53201031,5.171376623
0.439322496,3.732588235
0.409057896,3.414304348
0.386690384,5.572571429
0.421713177,4.648423077
0.32600124,5.925777778
0.536618881,6.293866667
0.645797365,4.180206897
0.49297007,5.362208333
0.660911235,10.4773125
0.552321874,3.694863636
0.4754332,3.071772727
0.3810876,5.548956522
0.450824839,4.527941176
0.438680423,4.266740741
0.475968048,5.126697674
0.443017944,8.962322581
0.465187124,3.523166667
0.467222105,3.711
0.433181316,2.859421053
0.387251038,5.701823529
0.319904741,6.080153846
0.431337656,3.54525
0.466097887,3.612611111
0.560436992,4.382
0.499013818,4.46952381
0.750554697,3.133931034
0.445621624,4.887333333
0.575335649,4.891789474
0.48622175,4.260217391
0.533996805,4.486209302
0.543600566,3.969441176
0.489199235,3.085428571
0.462878689,5.799416667
0.529207188,6.495192308
0.727899199,7.187526316
1.660369593,8.7763
0.401925842,5.84428
0.41455283,3.305974359
0.451571043,3.11453125
0.434645042,4.759333333
0.571446563,4.117928571
0.603392059,6.936666667
0.527186266,4.7884375
0.578794223,4.832428571
0.440480357,5.318072464
0.463874843,4.623138889
0.545526699,5.621307692
0.567254093,5.744756098
0.692906378,6.92575
0.44100329,6.693538462
0.405554926,3.227086957
0.39683349,7.145388889
0.648425777,5.54425
0.562049815,4.114689655
0.367094367,5.670375
0.443819053,4.401764706
0.381567092,4.2963
0.640746808,4.17678125
0.830506934,6.6578
0.414421978,3.591586207
0.456624978,5.344444444
0.499304625,5.897428571
0.515237242,5.447083333
0.621510493,5.6675
0.563302748,3.003631579
0.472414684,3.16775
0.48641398,4.372904762
0.409625132,4.1451875
0.386947554,5.372
0.428406172,6.886636364
0.444756375,5.0972
0.495386633,4.7445
0.452629743,4.7634
0.480503113,6.658869565
0.398412818,3.6316
0.483480788,4.557086957
0.780703287,5.231563636
0.855613595,2.2029
0.749257419,3.200107143
0.511727783,2.997458333
0.567790962,2.623413793
0.640749011,4.803545455
0.51926541,5.841133333
0.529400011,5.390833333
0.496841366,4.663025641
0.473622784,5.521470588
0.444951841,2.743926829
0.518293033,4.661678571
0.773339962,7.8279
0.429265203,4.761
0.469138004,4.629451613
0.429785824,3.5123
0.359278165,4.278347826
0.429390428,3.697470588
0.559095799,3.63576
0.51340279,4.32355
0.437542773,3.533458333
0.914492251,5.855709677
0.371369102,2.827181818
0.758788064,6.0445
0.411442201,3.799064516
0.408650383,3.160384615
0.517284335,3.26965625
0.410467748,4.319708333
0.473640386,4.960538462
0.374213251,5.822789474
0.779820818,6.528083333
0.331539673,4.082933333
0.436838962,6.660684211
0.823577786,6.566136364
0.636427283,5.02373913
0.566882136,4.765909091
0.512783689,4.418608696
1.317448752,3.2875
0.461875754,3.8678
0.601958388,4.5411875
0.386261215,5.061230769
0.612817125,7.149421053
0.464431352,3.919533333
0.558231049,5.096875
0.458136001,5.399111111
0.534481998,3.756423077
0.596375637,4.112515625
0.685378943,9.0215
0.552405187,5.612117647
0.877726538,8.12725
0.501528452,5.722428571
0.463019399,4.779933333
0.618166616,5.336891892
0.437317254,6.123958333
