MeanScore,RCR,LogRCR
2.666666667,0.139996581,-0.853882571
3.5,0.132970811,-0.876243683
3,1.488974699,0.172887318
4,0.993731943,-0.00273075
3,3.861737459,0.586782745
3.5,5.804419377,0.763758783
3.5,0.221042146,-0.655524912
2.333333333,0.78031382,-0.107730701
3.5,2.889829089,0.460872158
2,0.165787986,-0.780446946
2.5,0.272262987,-0.565011396
3.5,0.572444318,-0.242266751
3,0.42425623,-0.372371771
4,0.119815842,-0.921485754
2,0.347217153,-0.459398828
3,0.684953699,-0.164338785
1.75,0.547058403,-0.261966306
1.666666667,0.709921197,-0.148789856
3,0.682085596,-0.166161122
2,0.244511219,-0.611701209
1.5,0.130483349,-0.884444906
2.333333333,0.16903653,-0.772019431
4,2.570182675,0.409963992
4.5,2.04206044,0.310068592
2,0.155203517,-0.809098442
2.666666667,5.757021839,0.760197877
4,6.565926477,0.817296015
3.5,0.527851594,-0.277488163
2.5,0.097992839,-1.008805658
2.25,0.653424168,-0.184804806
2.5,0.373146199,-0.428120978
3.666666667,2.80461719,0.447873592
4,1.360659837,0.133749566
2,0.71896032,-0.143295078
2.333333333,0.426710818,-0.369866347
2,2.203295226,0.343072694
3.5,1.7839401,0.251380268
3.333333333,1.054382951,0.022998375
2,1.388736461,0.142619838
2,0.582780315,-0.234495126
2,0.029042324,-1.536968635
3,2.006963206,0.302539411
3,0.457656379,-0.33946048
4,2.613244308,0.417180013
4,4.200169424,0.623266809
2.5,0.224586764,-0.648615843
4,3.769360893,0.576267721
3.666666667,1.471062775,0.167631206
