MeanScore,RCR,LogRCR
3.333333333,0.440934321,-0.355626096
2,1.271222103,0.104221435
3.333333333,4.625636286,0.665171481
2,1.404475435,0.147514148
1.666666667,0.833851721,-0.078911171
3.666666667,10.12856947,1.005548111
2,0.86366809,-0.063653126
2.333333333,1.541230374,0.187867559
3.333333333,1.973272833,0.295187137
2.666666667,2.274551644,0.356895802
3,5.914040766,0.771884314
2,1.475537887,0.168950365
2.25,1.590828819,0.20162345
2,1.614426707,0.208018333
4,11.96807538,1.078024316
2.666666667,0.725271888,-0.139499156
3.666666667,2.055008371,0.312813595
3,1.924936678,0.284416448
3.333333333,1.138213348,0.056223674
2.666666667,0.69097846,-0.160535491
3.666666667,3.810265716,0.580955263
2.333333333,0.906314109,-0.042721259
3,1.499789136,0.176030203
2.333333333,0.118645962,-0.925747038
1.666666667,1.642019507,0.215378312
3.666666667,1.234914915,0.091637036
3.333333333,11.61947287,1.065186426
3,0.75361038,-0.122853128
2.333333333,7.543379659,0.877565966
3.333333333,1.680356414,0.225401408
3,7.861626467,0.895512405
1.75,5.517817044,0.741767296
2.666666667,8.549310804,0.931931106
1.666666667,1.984159782,0.297576642
4,2.726938502,0.435675344
3,3.331865264,0.522687431
3,4.996857989,0.698697007
1.666666667,0.830878071,-0.080462703
1.666666667,1.50459648,0.177420041
2.333333333,0.751783734,-0.123907075
2.333333333,2.70331249,0.431896251
2,12.49576621,1.096762891
1.666666667,1.032659211,0.013957023
3,3.439937265,0.536550522
3.333333333,0.655406791,-0.183489063
3,2.869222227,0.457764187
3.666666667,6.394839213,0.805829629
2,0.161553759,-0.791682932
1.5,0.103066666,-0.986881772
3.333333333,1.712340989,0.233590253
3,0.756555584,-0.121159159
3.666666667,2.869051952,0.457738412
2.333333333,2.411461368,0.382280309
2.333333333,0.358295382,-0.445758789
3,4.124863923,0.615409626
2.666666667,0.944674924,-0.024717613
4,3.845613193,0.584965599
2.333333333,1.521744774,0.182341819
1.666666667,0.788970784,-0.102939079
2.666666667,2.403671928,0.380875191
1.333333333,0.173576048,-0.760510204
3,32.1582167,1.507291957
3.666666667,0.577692854,-0.238303005
2.333333333,1.943462784,0.288576229
2.666666667,0.333378205,-0.477062796
1.666666667,1.582075972,0.199227335
3.25,2.846085353,0.45424792
3.333333333,11.50857071,1.06102139
2,0.173622913,-0.760392962
2.75,2.12150445,0.326643947
2.666666667,3.05586422,0.485134053
2.25,0.724311375,-0.140074694
3.5,1.367351012,0.135880016
3.333333333,2.004167747,0.301934069
3.666666667,2.066359503,0.315205882
1.666666667,0.658079495,-0.181721641
2.333333333,0.905067729,-0.04331892
2.666666667,1.172754874,0.069207247
2,0.541942756,-0.266046584
2.666666667,1.375728576,0.138532758
4,8.947519474,0.951702652
2.666666667,0.558326521,-0.253111742
