CPY:FCR,CPY:medianFCR
0.482392668,0.483968542
0.484496124,0.484496124
0.362098896,0.497512438
0.351696584,0.5
0.377237226,0.5
0.445434298,0.5
0.502512563,0.502512563
0.248528798,0.504032258
0.580383053,0.504540868
0.51894136,0.51894136
0.361316547,0.52246604
0.447248622,0.522739153
0.49023613,0.527983105
0.459674049,0.530785563
0.160487883,0.53561864
0.372782492,0.53561864
0.465614378,0.535690371
0.476426072,0.537201182
0.283062565,0.538793103
0.4411394,0.539374326
0.144759699,0.539956803
0.381263267,0.547345375
0.280598509,0.549752611
0.515137106,0.550509221
0.239435802,0.550964187
0.576701269,0.576701269
0.315708112,0.577700751
0.577951163,0.577951163
0.458969995,0.585137507
0.494592456,0.589275192
0.493733783,0.596302922
0.373595795,0.608272506
0.523305123,0.610128127
0.222210999,0.616903146
0.294117647,0.61842919
0.531659288,0.619003405
0.400393113,0.619003405
0.398860399,0.62305296
0.389138706,0.624219725
0.689590321,0.630119723
0.554836323,0.630119723
0.268899346,0.630119723
0.323206206,0.630119723
0.470179753,0.632511069
0.570924378,0.639386189
0.656167979,0.656167979
0.641324627,0.656598818
0.652315721,0.656598818
0.665107597,0.656598818
0.610182687,0.670241287
0.414336027,0.676818951
0.437316685,0.679925208
0.437474512,0.683760684
0.39257561,0.688705234
0.271913869,0.692281066
0.561057594,0.693361068
0.59451349,0.694444444
0.545862988,0.697714983
0.670103093,0.697836706
0.322653502,0.698080279
0.709219858,0.709219858
0.564793879,0.711300791
0.657773568,0.71942446
0.53600773,0.720720721
0.638810651,0.73313783
0.195207652,0.734416598
0.461813774,0.740535037
0.415383864,0.74197737
0.591928823,0.747803328
0.484647658,0.752021057
0.747384155,0.76540375
0.618627075,0.771158666
0.652578975,0.776548243
0.299484459,0.776548243
0.627045245,0.795070563
0.660704957,0.800560392
0.811030008,0.811030008
0.416569868,0.811030008
0.817661488,0.817661488
0.656661223,0.824572253
0.65325083,0.825337873
0.768526805,0.832292967
0.82330868,0.834585211
0.389006328,0.837520938
0.73613063,0.84015963
0.793175142,0.841750842
0.882709919,0.842282586
0.80698038,0.857449089
0.83349475,0.860215054
0.838984607,0.861771803
0.664516218,0.86918731
0.343855306,0.876040298
0.334953289,0.897021887
0.551338007,0.908265213
0.427980177,0.909194227
0.913242009,0.913242009
0.91954023,0.91954023
0.737394835,0.925411808
0.395157997,0.925925926
0.509813918,0.930838686
0.852490143,0.941952196
0.650236437,0.945358291
0.569189261,0.954767872
0.691802145,0.967117988
0.498444746,0.970685304
0.392414852,0.973804655
0.303582271,0.988386459
0.656167979,1.005025126
0.308731766,1.007302946
0.925294633,1.012658228
0.988879162,1.02312257
0.692628286,1.025641026
0.916663208,1.030715316
1.012621605,1.031991744
0.558058848,1.050199538
0.982872991,1.052853232
0.829013396,1.075268817
0.608233708,1.081665765
1.116813991,1.094331364
0.512490309,1.10314396
0.568915037,1.11919418
1.254075746,1.124606388
0.128134285,1.143510577
0.939897373,1.164686699
0.681846556,1.164822365
0.616181884,1.164822365
1.020648504,1.166520852
0.65580478,1.20585702
0.519657566,1.208667875
0.841199285,1.245640259
0.974105041,1.260239445
1.01039396,1.260239445
1.10172144,1.260239445
1.268618146,1.260239445
0.810641092,1.307189542
0.949826796,1.313197636
0.830435933,1.338304177
0.664910968,1.35187331
1.113378088,1.376597837
1.176723067,1.441441441
1.323245532,1.459587666
1.246529175,1.480541455
1.499250375,1.499250375
1.044551862,1.522070015
1.039022725,1.526426255
1.001444793,1.553096486
1.172478326,1.590141125
0.745917346,1.596593933
1.270068177,1.598295152
1.60770865,1.600914808
1.720356114,1.622060016
0.869184312,1.644350482
0.972006221,1.65471594
1.582105837,1.662510391
1.478890263,1.680319261
1.102661853,1.680319261
1.028844997,1.684565172
1.112645569,1.684565172
1.689367543,1.693659363
1.299882739,1.758352173
1.326427444,1.794043775
1.02697969,1.833333333
1.516683519,1.846153846
1.456417552,1.853138754
1.322693003,1.857010214
1.725693219,1.918716204
1.74830866,1.92274078
1.712815362,1.973448152
1.360083781,2.007427482
2.293443105,2.014775017
0.961462551,2.021315693
1.176915544,2.02757502
2.046822334,2.066115702
1.773153366,2.160675702
1.813282152,2.195204323
2.060483923,2.285951787
1.65867487,2.316277111
1.616398785,2.332256907
1.529612082,2.385211688
1.912030046,2.52378179
1.497029578,2.52378179
1.530804776,2.756339581
2.420849693,2.976190476
1.400088054,3.035172291
2.79694201,3.099173554
3.094025816,3.150598614
1.89529752,3.494467094
1.980098348,3.551767004
3.11047575,3.577817531
2.422225756,3.577817531
2.109401218,3.589307641
3.100073731,3.649635036
1.814772246,3.975352813
3.273819292,4.215597712
3.918075714,4.257907543
4.149455855,4.380724811
4.252315231,4.969191016
4.457574026,5.048766495
4.11272406,5.050505051
3.44728423,5.169867061
4.791350866,6.09115732
5.508146762,7.351396765
