Category Avg CPY,TR Ratio,FCR,RCR
4.0723,0.572976778,5.800825472,0.452067734
4.1518,0.802864621,6.80353271,0.561934397
4.109266667,0.405587372,7.358803738,0.262115148
3.125383333,2.879646763,5.861079588,1.728188849
2.20045,0.908904997,5.924564815,0.380478229
4.4855,0.891762345,9.811426966,0.485261273
3.803388889,1.139334804,11.40835632,0.457586803
5.789333333,3.051589129,11.23584281,1.892028563
1.480733333,0.90045473,2.043175439,0.586258925
2.335683333,0.28542682,3.051818182,0.218630089
3.435133333,3.105168164,8.159824604,1.529493425
3.389133333,2.16377835,7.559852459,1.125952739
3.699,0.630801117,6.899062992,0.38854629
4.4855,3.567049381,10.21979233,1.869869603
3.010283333,1.10731548,7.4052,0.521307658
5.789333333,0.403040074,10.98929756,0.255065149
5.137416667,0.454184172,5.908462121,0.444938523
3.630466667,1.285417853,8.596539568,0.638435673
4.595116667,0.870489324,10.24458963,0.466428831
4.143533333,1.206699596,6.382428977,0.891529586
2.644166667,0.378190986,5.957840909,0.189318285
3.279366667,0.508228215,11.91705263,0.169019026
4.0723,1.227807382,9.676990933,0.614274063
3.328077778,0.200315831,4.18562,0.17004902
1.954116667,1.194060402,5.034785714,0.510253782
3.604433333,1.109744481,6.082350598,0.743801898
3.952644444,3.035942182,7.109622098,1.945818086
3.111333333,3.642596957,7.184632242,1.820701983
3.05285,1.856189026,7.869002755,0.83943952
3.545783333,2.256201028,6.531996728,1.397805229
3.526466667,0.661663232,5.442074286,0.477572043
4.4855,1.486270576,6.97520241,1.099422131
2.885516667,0.924155697,1.685517241,1.333664001
3.064466667,1.414057911,6.619179724,0.748385222
4.143533333,1.850272714,9.018750611,1.004287579
8.966066667,0.520480924,8.443049494,0.648905186
3.435133333,0.582219031,9.053484848,0.261075361
3.774983333,0.441503053,5.118840491,0.35939131
2.838033333,1.409426716,7.87381791,0.592220972
4.0723,5.402352479,8.823967446,2.939496293
3.699116667,0.360446413,3.9285,0.358145467
2.881316667,2.429444872,6.372301092,1.249875647
4.4855,0.891762345,7.460507463,0.621439168
3.6811,2.263816069,10.72498113,0.931629132
3.686216667,0.723415607,6.324304175,0.47929915
4.081211111,0.081675102,9.215964286,0.042814837
4.4855,3.418422324,8.419293856,2.137542175
2.626066667,1.523190577,6.006213974,0.75198189
3.2142,3.214900545,7.466443099,1.604247853
4.146233333,0.401971267,6.64992,0.286671107
2.646233333,1.385617293,3.83890566,1.003454723
8.966066667,1.040961849,8.800494268,1.250071426
2.689333333,1.115518096,1.978,1.348780819
3.873516667,2.409524506,5.204993056,1.984268158
4.0723,0.327415302,10.75892391,0.148627325
3.6811,2.082710784,10.56904027,0.868735409
3.1957,0.104306829,4.219,0.0844719
3.010283333,1.10731548,8.185529086,0.47661695
4.028433333,0.827451532,8.570016216,0.457300436
3.8181,2.444496827,7.861373609,1.383807891
3.6471,1.005364993,8.2336875,0.521519415
2.851633333,1.052028662,6.493012077,0.526934755
3.1957,1.773216092,7.732898876,0.852648117
3.347466667,0.896200112,8.418309353,0.418258879
3.916766667,0.34041684,9.540305556,0.16594753
4.4855,2.378032921,10.27356577,1.240589528
3.328077778,4.807579951,5.776020579,3.111381764
4.586983333,1.090041022,6.055231626,0.933368788
3.064466667,1.849152653,5.945541538,1.074726385
3.347466667,2.489444754,4.340195212,2.06311236
2.211406667,0.602934482,5.017417808,0.292426943
3.710555556,1.527174727,9.087877462,0.737170654
4.143533333,0.804466397,6.31519661,0.599878435
4.651977778,1.289774003,8.456782904,0.833084316
3.710555556,0.898338075,9.934637324,0.399792916
3.8181,2.444496827,9.643129221,1.15032176
3.630466667,0.642708926,6.927608163,0.38713241
3.359266667,5.556768342,5.218703795,3.959668067
3.251766667,0.922575421,6.787141079,0.506817013
4.2789,2.181245959,7.836341584,1.387765252
2.9613,1.913573993,7.924776074,0.8341443
2.626066667,1.523190577,6.500844961,0.701837767
5.789333333,2.475817596,9.815541466,1.738186267
2.689333333,0.24789291,10.43169091,0.076456484
5.789333333,0.51819438,7.612039437,0.457798582
4.057983333,0.985711293,9.998595833,0.476940418
3.413266667,1.953163148,8.100093702,0.96226578
4.4855,0.520194701,5.855119617,0.448443287
2.727433333,4.155310854,6.924931944,1.880999141
2.030666667,2.133946159,5.081868932,0.940176452
5.137416667,1.167902156,10.14904798,0.705683886
2.776516667,2.641199104,4.172666667,1.875299935
5.789333333,0.51819438,7.883786697,0.443662607
3.9108,1.193276738,13.41086025,0.423911849
4.586983333,1.453388029,7.86725237,0.987772698
3.686216667,7.234156068,8.891867391,3.538361077
4.028433333,0.827451532,10.28142697,0.387412073
1.980033333,1.010084005,4.832382353,0.452757796
4.143533333,4.102778627,11.59738346,1.768032553
3.630466667,0.734524487,7.398232044,0.417395607
4.246411111,1.726948508,13.41379302,0.666010865
4.4855,0.743135288,12.36426008,0.326655479
4.1518,0.080286462,8.287911765,0.047131563
2.7679,3.251562556,8.794266741,1.206199031
8.966066667,1.896037653,10.01485467,2.023982
