RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
0.292907,-0.26592,-0.30517
-0.19892,-0.00986,-0.16189
-0.29562,0.076067,0.288508
-0.13518,-0.0212,-0.20582
0.070962,0.048223,-0.41378
-0.17336,-0.14193,0.387864
-0.15049,0.291282,-0.03983
0.246968,0.128474,-0.70925
-0.12141,0.046215,0.26212
-0.10689,0.019624,-0.45588
0.171167,-0.17006,-0.08873
-0.23321,-0.03783,0.232674
0.286333,-0.50684,-0.25726
-0.22314,-0.07908,0.005754
0.31272,-0.30876,-0.30806
-0.15749,0.028209,0.078577
0.254544,-0.14265,-0.42717
-0.30131,0.14943,-0.01928
0.077046,-0.19016,-0.15602
0.093493,-0.17704,0.06357
-0.06626,-0.0963,-0.12245
-0.06251,0.013498,0.066897
-0.34321,0.117123,0.447282
-0.10247,-0.06562,0.070892
-0.04985,0.074186,-0.0052
-0.4094,0.272297,0.502244
-0.30282,-0.15242,0.180029
-0.34796,0.080337,0.099281
-0.10191,-0.24718,-0.24847
0.060256,-0.16233,0.82594
0.296361,-0.2079,-0.39451
-0.02382,-0.08382,0.068919
-0.16629,0.082939,0.010105
-0.27039,0.064449,0.19043
0.034114,-0.17215,-0.04388
0.223633,-0.02417,-0.0991
0.008947,0.041111,-0.30255
0.106697,0.070328,-0.20738
-0.11075,0.066241,-0.16191
0.211975,-0.27902,-0.29212
-0.11636,0.126077,-0.18788
-0.26991,0.167972,0.250408
-0.11191,-0.01617,0.306008
-0.26332,-0.02298,0.243181
-0.15562,-0.00945,0.157916
-0.15699,0.012793,0.178797
-0.36741,0.095161,0.418896
0.116738,-0.21995,0.007208
-0.26423,0.246237,0.465228
-0.09128,-0.06127,0.352655
-0.07147,-0.28894,0.127338
-0.41896,0.019675,0.243198
0.479827,-0.14037,-0.46589
-0.28272,-0.0616,0.225005
-0.20934,-0.04372,0.181994
0.348643,-0.09313,-0.44859
-0.04463,-0.03349,-0.10106
-0.41972,0.146098,0.359355
-0.24973,-0.08337,0.410157
-0.49972,0.166203,0.541736
0.247362,-0.23625,-0.51873
-0.12549,0.056611,-0.1441
0.041295,-0.15437,0.583082
-0.27272,-0.09258,0.218274
-0.17682,-0.01,0.386004
0.171002,-0.26775,-0.84933
-0.0000682,-0.11818,-0.11622
0.045685,-0.55788,-0.38718
-0.04189,0.236394,-0.22094
0.631743,-0.11194,-0.91116
-0.04622,-0.00516,0.184297
0.013947,-0.34735,-0.09544
-0.29377,-0.08835,0.240915
-0.14094,-0.12866,-0.07056
0.046431,-0.06414,-0.29043
-0.32194,-0.00348,0.406377
0.195486,-0.15568,-0.37143
0.282988,-0.15602,-0.22068
-0.29242,-0.1089,-0.03048
-0.02339,0.0401,-0.26454
-0.22862,0.039657,0.144601
0.013351,0.310039,0.148466
0.059406,-0.35292,-0.28818
-0.24933,0.149384,0.523188
-0.45509,0.256782,0.408827
0.032662,-0.05341,-0.0628
0.248654,-0.15085,-0.56373
0.179893,-0.2348,-0.52509
0.21316,-0.07416,-0.24602
-0.28521,0.059498,0.638739
0.045971,-0.08591,-0.37734
-0.36218,0.195922,0.339557
0.121337,-0.07624,-0.22809
-0.04237,-0.33032,-0.08257
-0.21347,0.030088,0.089656
-0.1255,-0.09835,0.204026
0.128151,0.166332,-0.7659
-0.09731,-0.10248,0.193226
-0.1491,0.047056,-0.0449
-0.02935,-0.05326,-0.19011
0.06415,-0.08832,0.035003
-0.31055,0.183992,0.046402
-0.45912,0.283878,0.313189
-0.20415,-0.0642,0.009856
0.154525,-0.10699,-0.16074
-0.23606,0.471108,0.275074
0.194207,0.058883,0.415671
-0.15147,-0.14423,0.218257
-0.15215,0.185065,0.179115
0.42856,-0.24816,-0.65144
0.391392,-0.41282,-0.40605
-0.203,0.170377,0.164247
-0.35581,0.246561,0.324016
0.011447,-0.18611,-0.00235
0.171237,0.337043,-0.67723
0.306807,-0.31461,-0.52339
-0.01368,0.12015,0.190581
-0.22371,-0.022,0.236605
-0.05612,0.224591,0.49273
0.316692,-0.29423,-0.28563
-0.30341,-0.04649,-0.02735
-0.32283,0.193042,0.291462
-0.10717,0.008017,0.249101
0.421625,-0.86455,-0.30726
-0.21456,0.111218,0.097679
-0.27386,-0.08396,0.22154
-0.01993,0.211294,-0.27583
0.285104,-0.08841,-0.15045
-0.04832,-0.08234,0.075714
0.085617,-0.19783,-0.19864
-0.34963,0.08499,0.544078
-0.19607,-0.21182,0.131791
0.148846,-0.11108,0.113387
0.335068,-0.18246,-0.56947
-0.14708,0.219326,-0.09783
0.038544,0.015013,-0.22822
-0.14967,0.080058,-0.16039
-0.21087,0.106117,0.328244
-0.07476,-0.06928,0.080884
-0.15941,-0.20139,-0.1187
-0.10783,0.063488,-0.33976
-0.23458,0.001431,0.166096
0.021064,0.048589,-0.18062
-0.1784,-0.12635,0.59921
0.031132,-0.07862,-0.03755
-0.1206,-0.03036,-0.00813
0.118362,-0.14616,-0.27297
0.389424,-0.10568,-0.88736
-0.41699,0.265702,0.392817
0.908897,-0.34812,-0.9864
-0.06236,0.022555,0.044456
-0.14254,-0.22822,-0.0907
0.101972,-0.2129,-0.02735
0.075719,0.069102,-0.13789
-0.16955,-0.32705,-0.00397
-0.11505,-0.0763,-0.04197
-0.34021,0.025083,0.034989
-0.15816,-0.07966,0.076599
-0.0188,-0.15616,-0.3796
-0.25756,0.350553,0.192164
-0.45184,0.00000854,0.128379
0.088836,-0.16453,-0.02428
0.044449,0.06845,-0.59866
-0.01744,0.05887,-0.26678
-0.0433,-0.15623,0.056063
-0.05504,0.228046,0.168159
0.008865,-0.01777,-0.11026
-0.20017,0.223366,-0.00576
0.129325,-0.0693,-0.17681
-0.10016,-0.10093,-0.12121
-0.22048,-0.14274,0.089205
0.290831,-0.16965,-0.56114
0.075402,0.219557,-0.35708
-0.2737,0.021696,0.299614
0.076698,-0.09207,0.105099
-0.26531,0.035469,0.456451
-0.12573,-0.31742,-0.01174
-0.25454,-0.05269,0.18576
0.211025,-0.24074,-0.19344
-0.5987,-0.22736,0.235487
-0.11472,-0.08458,0.551492
0.520557,-0.25742,-0.69548
0.162635,-0.4038,-0.31097
-0.16902,0.096865,-0.06734
0.074336,-0.095,-0.20242
-0.05959,-0.02398,-0.31545
-0.1659,0.028831,-0.04321
0.166926,-0.50262,-0.33728
0.176624,0.055929,-0.27984
-0.29332,0.060592,-0.53274
0.04338,-0.17943,-0.10583
-0.29862,-0.12715,0.16341
-0.02886,0.14051,0.193462
0.134152,0.047645,-0.23738
0.049004,-0.08186,-0.19853
-0.09377,0.231114,0.048065
-0.08146,0.346439,-0.1342
0.122315,-0.06907,-0.38453
0.054531,-0.03613,-0.2292
-0.43318,-0.06529,0.295838
-0.15162,-0.19443,0.138656
0.107712,-0.19515,-0.18145
-0.23698,-0.16566,0.542825
-0.14989,0.011866,-0.18819
0.13029,-0.31849,-0.26173
0.110155,-0.1993,0.111212
-0.20314,0.023624,-0.02533
0.084069,-0.03455,-0.06203
0.15002,-0.32948,-0.26937
0.218301,-0.38083,-0.35273
-0.55516,0.416218,0.38378
0.269779,-0.16871,-0.34101
-0.25172,-0.0046,-0.06525
0.170502,-0.16476,-0.62505
-0.17968,0.063903,-0.20558
-0.05683,0.180177,-0.15164
0.016894,-0.05317,-0.04189
0.046122,0.008622,-0.05217
-0.36768,0.152795,0.484221
-0.08219,-0.07031,-0.23961
0.298407,0.202878,-0.60982
0.153796,-0.26746,-0.35109
0.505743,-0.21114,-0.85401
-0.02546,-0.13354,-0.13651
-0.33436,-0.26416,0.221
-0.00765,-0.34077,0.199011
0.01432,0.120336,-0.32613
-0.60107,0.034944,0.677568
0.01486,0.038792,-0.10946
0.413044,-0.08378,-0.54767
0.023833,-0.03789,0.095693
-0.48527,0.005286,0.648139
-0.06042,-0.03994,-0.03232
0.283327,0.012026,-0.64569
-0.03663,-0.22755,-0.16362
0.312667,-0.18348,-0.32755
-0.13051,-0.15631,-0.09414
0.705414,-0.41173,-0.86963
-0.26946,0.047841,0.204167
-0.25649,-0.04775,-0.20421
-0.28198,0.076202,0.166879
-0.25138,-0.01651,0.18378
-0.45568,0.190698,0.232692
-0.27562,0.198186,0.166798
-0.15721,0.020148,0.183754
0.052858,-0.12737,0.129701
-0.23549,-0.05415,0.091448
-0.00419,-0.0757,-0.1956
0.024879,-0.2795,-0.1646
-0.28575,0.281277,0.10716
0.265805,-0.34955,-0.7392
0.306892,0.023038,-0.63241
-0.39808,-0.13261,0.494764
-0.15031,-0.27039,-0.20289
0.3786,-0.48884,-0.05429
0.316807,-0.2651,-0.15329
