CPY,JCR_IF,FCR
0.25,2.062,5.358958333
0.25,2.12,9.167157895
0.25,2.139,2.139
0.25,2.142,2.998681818
0.25,2.195,3.462391304
0.25,2.195,2.20425
0.25,2.2,14.79533333
0.25,2.2,7.5352
0.25,2.2,5.399260274
0.25,2.2,4.02825
0.25,2.202,7.916307692
0.25,2.26,5.686307692
0.25,2.26,2.26
0.25,2.287,6.777555556
0.25,2.287,5.354909091
0.25,2.287,4.145571429
0.25,2.287,2.287
0.25,2.304,10.0595
0.25,2.312,11.89544828
0.25,2.312,7.446688525
0.25,2.312,6.40425
0.25,2.312,2.312
0.25,2.365,9.834888889
0.25,2.375,6.242
0.25,2.389,6.683699248
0.25,2.389,5.4275
0.25,2.389,5.315590909
0.25,2.417,4.244727273
0.25,2.432,4.264714286
0.25,2.454,8.03784375
0.25,2.464,9.840514286
0.25,2.486,5.4202
0.25,2.494,9.7426
0.25,2.494,4.526172414
0.25,2.494,3.881352941
0.25,2.523,4.77825
0.25,2.539,1.6975
0.25,2.555,9.0340625
0.25,2.596,5.34855
0.25,2.605,3.152818182
0.25,2.648,7.653409091
0.25,2.648,6.4278
0.25,2.648,3.710384615
0.25,2.656,2.656
0.25,2.658,4.264157895
0.25,2.689,2.689
0.25,2.705,7.169777778
0.25,2.714,12.77286364
0.25,2.744,2.948333333
0.25,2.75,5.752125
0.25,2.762,5.128058824
0.25,2.784,2.784
0.25,2.801,7.812714286
0.25,2.801,5.226
0.25,2.806,13.65207273
0.25,2.823,6.10985
0.25,2.824,3.683534483
0.25,2.846,6.8287
0.25,2.847,5.0388
0.25,2.866,3.392583333
0.25,2.868,5.345314286
0.25,2.875,4.436428571
0.25,2.904,10.49529032
0.25,2.904,7.438222222
0.25,2.926,4.0168
0.25,2.926,3.011625
0.25,2.929,5.063206897
0.25,2.951,10.54220513
0.25,2.951,4.216866667
0.25,2.996,3.674549296
0.25,3.018,15.50857143
0.25,3.018,7.558444444
0.25,3.035,12.3608
0.25,3.043,6.325772727
0.25,3.061,5.464565217
0.25,3.075,6.387
0.25,3.086,3.268
0.25,3.093,4.333555556
0.25,3.102,3.102
0.25,3.121,8.122538462
0.25,3.122,4.0879375
0.25,3.146,8.629653509
0.25,3.159,3.335423077
0.25,3.166,4.761872727
0.25,3.166,3.543375
0.25,3.242,2.78525
0.25,3.245,4.170142857
0.25,3.249,3.909582857
0.25,3.253,11.840875
0.25,3.253,7.151181818
0.25,3.253,6.2015
0.25,3.253,5.177378378
0.25,3.253,4.670961538
0.25,3.253,2.522416667
0.25,3.264,11.32895652
0.25,3.264,9.3544
0.25,3.273,16.53976
0.25,3.319,3.445555556
0.25,3.328,3.328
0.25,3.344,3.885733333
0.25,3.369,3.797576923
0.25,3.379,7.6388
0.25,3.379,6.48871831
0.25,3.379,4.640978723
0.25,3.379,4.2678
0.25,3.4,6.92315
0.25,3.419,7.812918367
0.25,3.432,3.432
0.25,3.436,6.49505
0.25,3.449,5.2956
0.25,3.468,3.364666667
0.25,3.469,7.088
0.25,3.491,9.389319588
0.25,3.528,8.232571429
0.25,3.539,8.880166667
0.25,3.539,5.837037037
0.25,3.539,5.3634375
0.25,3.55,7.5674
0.25,3.582,3.582
0.25,3.582,2.804894737
0.25,3.606,12.05447826
0.25,3.648,10.24983333
0.25,3.648,6.689055556
0.25,3.658,6.534689655
0.25,3.658,4.399430556
0.25,3.734,6.147333333
0.25,3.742,5.126451613
0.25,3.798,4.240666667
0.25,3.84,6.980785714
0.25,3.855,4.428933333
0.25,3.903,6.1871
0.25,3.922,3.373772727
0.25,3.924,7.549458128
0.25,3.924,7.35462069
0.25,3.926,8.207375
0.25,3.945,6.22175
0.25,4.002,11.152
0.25,4.006,11.42088462
0.25,4.006,5.8586
0.25,4.051,5.161384615
0.25,4.104,5.661272727
0.25,4.116,7.646588235
0.25,4.116,6.125357143
0.25,4.116,6.06875
0.25,4.12,4.12
0.25,4.146,11.33792593
0.25,4.146,7.020626471
0.25,4.174,10.26403571
0.25,4.189,7.964341463
0.25,4.23,7.077027027
0.25,4.23,5.75715
0.25,4.23,3.900117647
0.25,4.276,11.39830769
0.25,4.309,4.309
0.25,4.328,4.328
0.25,4.335,6.952318182
0.25,4.335,3.317974074
0.25,4.352,5.966923077
0.25,4.446,6.929329114
0.25,4.532,7.946076923
0.25,4.585,7.094117647
0.25,4.605,11.0806
0.25,4.683,6.835198198
0.25,4.716,12.21028
0.25,4.77,4.77
0.25,4.902,6.085875
0.25,4.975,16.80471429
0.25,5.018,5.018
0.25,5.052,7.016714286
0.25,5.054,7.328468085
0.25,5.236,6.600481928
0.25,5.479,10.83496154
0.25,5.52,6.32837037
0.25,5.52,5.7374
0.25,5.69,7.357721407
0.25,6.486,9.7068125
0.25,6.486,8.514730769
0.25,6.486,7.820185185
0.25,6.835,7.161518519
0.25,6.878,8.046368421
0.25,6.878,7.188333333
0.25,6.878,6.878
0.25,7.216,10.41535714
0.25,8.266,7.583076923
0.25,9.935,7.435171875
0.25,10.777,10.01124
0.25,11.355,11.4366
0.25,12.563,6.6848
0.25,12.563,6.546863636
0.25,13.385,12.33186957
0.25,14.164,10.8485625
0.285714286,0.672,7.454266667
0.285714286,0.747,4.688853659
0.285714286,0.852,6.380755556
0.285714286,0.971,1.33
0.285714286,1.005,5.667416667
0.285714286,1.02,5.369225
0.285714286,1.116,10.52764706
0.285714286,1.211,10.27180952
0.285714286,1.218,7.578575758
0.285714286,1.218,3.3174
0.285714286,1.367,5.584888889
0.285714286,1.477,5.527647059
0.285714286,1.566,8.806230769
0.285714286,1.587,4.887785714
0.285714286,1.602,3.281888889
0.285714286,1.644,2.10072973
0.285714286,1.677,2.972869565
0.285714286,1.695,14.3043
0.285714286,1.695,8.302346939
0.285714286,1.784,2.71175
0.285714286,1.785,4.771136364
0.285714286,1.898,6.16544186
0.285714286,1.952,5.020861111
0.285714286,1.952,1.907666667
0.285714286,1.971,5.15325
0.285714286,1.995,4.533208333
0.285714286,2.022,3.440564822
0.285714286,2.027,12.31044681
0.285714286,2.027,3.063454545
0.285714286,2.049,4.779222222
0.285714286,2.096,3.43887634
0.285714286,2.118,4.7446875
0.285714286,2.138,5.110115385
0.285714286,2.208,10.87877641
0.285714286,2.289,6.428478261
0.285714286,2.289,3.310473684
0.285714286,2.47,5.862517241
0.285714286,2.482,2.336
0.285714286,2.487,5.412111111
0.285714286,2.503,7.405755556
0.285714286,2.636,4.836188679
0.285714286,2.641,5.870166667
0.285714286,2.678,7.775517241
0.285714286,2.695,3.405066667
0.285714286,2.711,8.475333333
0.285714286,2.733,7.980025
0.285714286,2.824,6.645871921
0.285714286,2.83,4.449583333
0.285714286,3,8.386949367
0.285714286,3,5.332274074
0.285714286,3.049,3.453916667
0.285714286,3.158,4.081663366
0.285714286,3.192,3.192
0.285714286,3.29,8.182308824
0.285714286,3.333,9.280372263
0.285714286,3.34,11.65604167
0.285714286,3.469,3.5435625
0.285714286,3.469,2.78625
0.285714286,3.496,6.054947368
0.285714286,3.557,6.8952
0.285714286,3.56,7.593434783
0.285714286,3.591,4.076928571
0.285714286,3.592,5.001269231
0.285714286,3.602,3.9311
0.285714286,3.618,6.318815789
0.285714286,3.645,6.314333333
0.285714286,3.705,11.28036364
0.285714286,3.848,10.89752632
0.285714286,3.848,7.160972826
0.285714286,3.848,6.796566038
0.285714286,3.848,3.511153846
0.285714286,3.859,4.144073171
0.285714286,3.879,8.001205882
0.285714286,3.907,4.598914286
0.285714286,3.939,2.908666667
0.285714286,3.942,5.422571429
0.285714286,4.008,6.701138889
0.285714286,4.019,11.13416981
0.285714286,4.019,9.349355556
0.285714286,4.033,6.461913043
0.285714286,4.098,7.9367
0.285714286,4.216,4.826
0.285714286,4.368,4.368
0.285714286,4.379,5.553232143
0.285714286,4.379,5.176681818
0.285714286,4.406,5.960866667
0.285714286,4.604,5.409522727
0.285714286,5.064,7.630931034
0.285714286,5.065,5.503066667
0.285714286,5.229,8.21572
0.285714286,5.635,5.635
0.285714286,6.019,10.88658065
0.285714286,7.24,6.375136364
0.285714286,7.552,8.137814815
0.285714286,7.552,4.2459
0.285714286,7.616,6.880255507
0.285714286,7.844,12.29892308
0.333333333,0.286,2.065789474
0.333333333,0.346,9.98363253
0.333333333,0.411,8.203515152
0.333333333,0.411,6.106887324
0.333333333,0.551,5.458518519
0.333333333,0.645,5.606727273
0.333333333,0.646,9.239666667
0.333333333,0.646,7.805572727
0.333333333,0.646,7.65494
0.333333333,0.646,6.539666667
0.333333333,0.646,6.163926829
0.333333333,0.646,5.917427184
0.333333333,0.667,2.847421053
0.333333333,0.725,3.154793103
0.333333333,0.731,5.295076923
0.333333333,0.75,11.8052963
0.333333333,0.75,8.534062718
0.333333333,0.804,11.77814286
0.333333333,0.912,6.165731343
0.333333333,0.939,5.397027027
0.333333333,0.993,2.002571429
0.333333333,0.994,9.893333333
0.333333333,1,3.360961538
0.333333333,1.033,4.244666667
0.333333333,1.033,1.033
0.333333333,1.096,1.4659375
0.333333333,1.107,10.11736842
0.333333333,1.117,8.490111111
0.333333333,1.144,1.144
0.333333333,1.146,5.49015
0.333333333,1.148,4.456735294
0.333333333,1.242,7.60475
0.333333333,1.273,11.26083673
0.333333333,1.292,1.489875
0.333333333,1.31,4.2155
0.333333333,1.313,4.165647059
0.333333333,1.322,5.133125
0.333333333,1.35,1.35
0.333333333,1.373,2.862
0.333333333,1.389,4.291085714
0.333333333,1.393,6.097333333
0.333333333,1.408,1.408
0.333333333,1.41,3.590830986
0.333333333,1.428,12.08113514
0.333333333,1.43,1.529
0.333333333,1.433,1.792846154
0.333333333,1.454,2.890384615
0.333333333,1.457,3.716
0.333333333,1.463,2.9455
0.333333333,1.471,5.996181818
0.333333333,1.482,3.112458333
0.333333333,1.502,4.094
0.333333333,1.513,4.293222222
0.333333333,1.523,9.14
0.333333333,1.534,1.534
0.333333333,1.553,6.456133333
0.333333333,1.558,3.494071429
0.333333333,1.58,1.58
0.333333333,1.585,8.497
0.333333333,1.587,1.489875
0.333333333,1.596,1.837222222
0.333333333,1.608,8.123107692
0.333333333,1.61,7.41295122
0.333333333,1.618,13.46096154
0.333333333,1.625,8.122363014
0.333333333,1.64,8.155595238
0.333333333,1.649,3.152818182
0.333333333,1.674,3.4058
0.333333333,1.712,7.425545455
0.333333333,1.712,2.55225
0.333333333,1.746,2.994727273
0.333333333,1.765,5.601662338
0.333333333,1.798,7.962818182
0.333333333,1.8,2.657
0.333333333,1.805,1.805
0.333333333,1.81,8.850125
0.333333333,1.816,5.621818182
0.333333333,1.816,4.558181818
0.333333333,1.837,3.442
0.333333333,1.841,5.4052
0.333333333,1.853,4.100455696
0.333333333,1.871,1.871
0.333333333,1.879,9.805285714
0.333333333,1.885,4.73841791
0.333333333,1.896,11.15817857
0.333333333,1.904,6.486111111
0.333333333,1.914,1.914
0.333333333,1.925,10.68490323
0.333333333,1.925,8.999466667
0.333333333,1.925,5.875883721
0.333333333,1.925,5.848923913
0.333333333,1.93,4.007967742
0.333333333,1.945,6.239915789
0.333333333,1.955,3.263413043
0.333333333,1.958,11.464
0.333333333,1.967,5.743085714
0.333333333,1.97,4.075514286
0.333333333,1.981,4.9215
0.333333333,1.984,1.984
0.333333333,1.99,8.205571429
0.333333333,1.99,3.507
0.333333333,2,11.80982143
0.333333333,2.018,1.621818182
0.333333333,2.018,1.489875
0.333333333,2.02,9.520961538
0.333333333,2.02,7.438222222
0.333333333,2.025,5.803427273
0.333333333,2.026,3.510708333
0.333333333,2.026,2.965071429
0.333333333,2.045,6.815058252
0.333333333,2.049,12.54569863
0.333333333,2.049,6.752517241
0.333333333,2.053,3.951222222
0.333333333,2.07,2.462555556
0.333333333,2.086,3.260111111
0.333333333,2.089,7.153162162
0.333333333,2.092,6.024018519
0.333333333,2.112,10.48237037
0.333333333,2.115,14.98869231
0.333333333,2.131,2.388916667
0.333333333,2.145,6.461382353
0.333333333,2.149,3.3725
0.333333333,2.151,2.151
0.333333333,2.153,5.878541667
0.333333333,2.154,6.19725
0.333333333,2.16,8.0116875
0.333333333,2.177,2.177
0.333333333,2.178,4.472458333
0.333333333,2.182,5.292818182
0.333333333,2.189,5.330666667
0.333333333,2.235,6.358766667
0.333333333,2.261,7.837431818
0.333333333,2.265,3.939533333
0.333333333,2.279,2.957263158
0.333333333,2.282,3.375266667
0.333333333,2.287,2.680444444
0.333333333,2.288,7.036907692
0.333333333,2.288,2.870666667
0.333333333,2.293,2.293
0.333333333,2.295,4.543304348
0.333333333,2.295,2.295
0.333333333,2.32,2.66055
0.333333333,2.327,8.394766667
0.333333333,2.336,10.14797368
0.333333333,2.336,4.101909091
0.333333333,2.338,14.2422
0.333333333,2.338,5.982666667
0.333333333,2.341,5.51562963
0.333333333,2.341,4.512960265
0.333333333,2.341,3.68337931
0.333333333,2.347,2.347
0.333333333,2.355,5.745195122
0.333333333,2.373,12.208125
0.333333333,2.373,3.357333333
0.333333333,2.389,6.203111111
0.333333333,2.398,4.068571429
0.333333333,2.402,12.7543
0.333333333,2.402,7.4153
0.333333333,2.407,5.276568421
0.333333333,2.407,4.305938776
0.333333333,2.418,2.9242
0.333333333,2.436,2.0585
0.333333333,2.439,4.178333333
0.333333333,2.444,4.919583333
0.333333333,2.451,5.28365
0.333333333,2.463,5.490480769
0.333333333,2.463,4.8018
0.333333333,2.463,4.756888889
0.333333333,2.463,4.63725
0.333333333,2.472,6.281608696
0.333333333,2.474,2.366
0.333333333,2.5,7.020382353
0.333333333,2.522,2.390612903
0.333333333,2.536,10.2487
0.333333333,2.538,6.58908
0.333333333,2.541,8.96895122
0.333333333,2.548,10.8707027
0.333333333,2.548,9.632125
0.333333333,2.548,6.688642857
0.333333333,2.548,6.587055556
0.333333333,2.548,5.953578947
0.333333333,2.548,5.525538462
0.333333333,2.557,3.779997286
0.333333333,2.58,6.492042553
0.333333333,2.587,5.101024291
0.333333333,2.602,6.295409091
0.333333333,2.609,5.280435897
0.333333333,2.619,6.431037037
0.333333333,2.659,4.410444444
0.333333333,2.67,9.700813953
0.333333333,2.67,6.690510204
0.333333333,2.67,2.684285714
0.333333333,2.679,2.812916667
0.333333333,2.695,4.5409375
0.333333333,2.704,2.704
0.333333333,2.71,3.909272727
0.333333333,2.72,7.029956522
0.333333333,2.736,4.489411765
0.333333333,2.754,7.15330303
0.333333333,2.762,10.26772
0.333333333,2.767,7.867836364
0.333333333,2.77,2.77
0.333333333,2.776,4.625806452
0.333333333,2.781,7.727035714
0.333333333,2.781,9.014131148
