RCR,F1000Total
0.601895788,1
1.143861568,2
0.51541433,1
1.837593168,1
5.925239513,6
2.231810802,2
1.740410565,1
1.680424357,2
3.894731015,3
1.149879201,1
1.808622707,3
4.81287319,7
1.472941564,2
2.459939984,1
0.950687059,2
0.625512468,2
1.05280339,2
1.881453112,1
1.081453775,2
0.38302459,1
0.85782783,2
0.559891182,1
1.170607385,1
1.231884444,1
1.593441909,6
3.177203637,2
1.765644001,2
1.439520004,1
0.642689287,1
0.460592099,1
5.151682929,2
1.17540082,1
2.963369183,2
0.423899533,2
0.461574961,1
5.236559417,2
1.274482982,1
1.524462696,2
2.796636442,2
3.19044619,1
0.453883988,2
0.229348012,1
0.610206041,2
0.776780074,1
1.312587572,2
0.201291046,1
1.785693948,1
0.269973068,1
12.76232048,4
2.200217626,1
2.409202763,2
4.667067263,1
1.014616739,2
0.275510963,1
3.832702838,1
1.749245547,1
3.145435808,10
2.216915371,1
1.280240184,1
1.061965125,1
3.234772173,1
0.785895747,3
2.182598904,2
2.8312923,2
3.256246552,2
1.292977107,1
2.13658568,6
1.775453691,2
2.279346116,2
0.834078289,1
3.447478364,1
3.034975771,1
6.519735676,5
0.690644352,1
0.101932163,1
1.586881975,1
0.989682917,4
0.39842759,1
0,1
3.763581856,1
1.563689391,2
0.462000443,1
3.535061901,2
3.337938169,1
2.238269023,1
0.787421661,1
0.316133683,1
0.370786472,3
0.059970694,2
0.326442804,2
0.401947097,1
1.747731507,3
1.353590513,4
0.261075361,1
0.676302747,1
1.52989864,1
2.949099972,2
2.520134714,5
1.444010233,1
0.422437566,1
0.997025883,2
1.563186565,1
0.589853105,1
0.811109097,2
0.823006006,2
1.349609666,4
1.124684419,1
4.41814134,2
0.519726617,1
1.046144179,1
0.865601531,2
0.436805696,3
3.308109035,2
2.003556827,1
0.565722546,1
1.517988407,1
2.559172653,3
0.903837451,1
2.821564909,2
1.7825596,2
1.78732111,1
0.451862292,1
0.444748133,2
2.611784088,1
7.305216605,3
1.9156687,1
7.711760644,5
1.983405991,2
1.83231753,1
4.135258211,2
0.688501116,1
5.462722098,2
0.514532201,1
0.053934126,1
4.185387206,3
1.607331794,1
6.224605578,3
2.403553737,2
1.252918768,1
0.535688606,3
3.760144858,3
0.777258755,1
2.270419151,2
0.957393738,1
1.116221026,2
1.423920753,4
3.723870178,3
2.868988042,2
16.06614611,5
0.521548549,2
4.464255609,4
3.461965255,1
1.707627192,1
12.71521714,1
1.615683629,2
1.240589528,5
1.511991183,2
3.570972498,6
2.885497476,1
0.331668561,1
6.035055043,2
1.720868652,1
1.938753812,1
0.982226631,3
1.662567631,6
1.710766863,2
0.566367196,1
1.300764841,1
0.30777857,1
0.860893642,2
1.591573165,1
5.865903283,1
1.141491093,3
3.769360893,4
0.588307042,2
4.077578607,4
1.144545559,1
0.755881877,6
0,2
0.805015335,1
0.71340155,3
2.731191134,1
0.394783469,1
1.926127706,4
1.882148323,1
4.693257925,2
0.164560812,1
3.323608961,1
3.910357613,1
1.397502111,2
2.570182675,2
0.501641075,2
1.271160931,1
0.588996914,1
1.794911761,1
0.55824196,1
0.187410993,1
1.316111328,7
0.891233187,1
1.370147822,2
0.732837017,3
1.2106275,2
2.43752746,2
1.441913773,1
0.526419976,2
11.95809417,2
2.13452428,3
1.343166013,2
2.160706215,3
0.974483688,1
1.853282464,1
7.994014028,1
4.787660704,1
0.69793362,1
2.333816764,1
6.729413727,5
1.654306028,4
0.79764137,1
1.396733042,2
0.580240201,1
0.728284273,2
0.532175694,1
0.604975873,5
3.009475158,5
2.473554733,3
1.392840918,2
2.897960113,2
4.736022388,7
2.125181901,1
0.314332367,4
2.10701381,3
1.061219313,1
1.102079957,1
0.507342676,1
1.36809834,2
0.090358995,1
1.047555738,1
0.743782761,1
5.612987994,1
2.107951003,3
0.280795434,1
4.156565762,3
13.65345032,15
1.325365489,2
0.350027657,1
0.247658368,1
17.42144385,1
6.958714859,1
1.866988839,3
0.708994174,2
4.248302407,2
4.883990349,2
0.20594503,1
0.475346437,1
8.74989978,1
0.770950591,2
2.011420281,2
0.819936518,1
1.727149256,1
3.267493605,4
0.794694387,1
1.008402818,2
2.353966207,1
1.31518474,1
1.710757151,2
1.310691511,3
3.779882344,5
3.21374479,2
7.249938606,6
0.238906054,1
2.201788186,1
0.956838254,2
0.30483673,2
1.926888996,1
0.059022491,3
3.376398163,3
1.436165915,2
4.963196349,6
1.122228379,2
1.334614667,2
2.736518607,1
0.492763642,2
2.260561293,1
3.008139033,1
12.61082524,1
1.615635519,1
1.029941057,3
0.79051981,1
1.626117345,1
1.961515248,1
0.818829267,2
0.795692195,2
2.41565913,2
1.264669854,1
3.167584917,6
0.969929785,1
5.171676606,2
2.755650285,2
6.890711321,2
0.354981334,2
9.675699275,7
0.793460525,1
2.054184647,2
2.261253744,6
