LogOfMeanRCR03-06,LogOfMeanRCR07-10
0.06510828,0.009579458
0.226057349,0.26144028
-0.447448896,0.023906462
0.000598908,-0.191230724
0.131932393,-0.256523401
-0.133345864,0.015137136
0.026641191,0.001384821
-0.120433667,-0.183434359
0.008726948,-0.072371366
-0.175552412,0.02133483
-0.482081284,-0.314015353
0.009191245,0.05001035
0.231374784,0.149004553
-0.092676229,-0.295139625
-0.355915346,-0.465739468
-0.256101557,-0.061955531
6.13E-05,-0.023625137
0.107165953,0.284955193
0.114942326,-0.045492117
-0.228249104,-0.130569182
-0.118422085,-0.321796538
0.314260541,0.401690171
-0.330622531,-0.341903076
0.210131666,-0.312574787
0.51592506,0.115423743
-0.227506325,-0.446447096
0.117447948,-0.086668865
-0.108924698,-0.24936599
-0.422427485,-0.260287451
0.038528221,0.910447181
-0.12982091,-0.441025044
0.028203236,-0.100052785
0.312822539,-0.063116126
0.193195469,0.141118577
-0.223714325,-0.245716115
-0.260489506,-0.35031153
0.031459238,-0.032813584
-0.33888211,-0.524394473
-0.19891637,-0.208778339
-0.251392359,-0.196559319
-0.049480224,-0.252339941
0.213604405,0.280833169
-0.337099824,-0.254631843
0.153738091,0.076495001
0.245942428,0.162971881
-0.031251464,-0.245773585
-0.026007473,0.569924003
-0.113520935,0.151222659
-0.429072313,-0.590554882
0.027403653,-0.088411081
-0.162747706,0.046709291
0.093157093,-0.048965135
-0.168449185,0.000261919
0.225172221,0.004247605
0.103593209,-0.085577058
-0.042456706,-0.275040032
0.469261862,0.15987299
-0.460959891,-0.057529138
-0.185827568,-0.131173543
0.352972084,0.14192998
0.152186359,-0.333953868
0.008864906,-0.008903846
-0.175553986,0.278463039
-0.103393227,0.147468819
-0.267772839,-0.476746723
-0.413948425,-0.471748437
-0.265608564,-0.213960527
-0.141950242,-0.273531571
-0.29114193,-0.32518974
-0.452420971,-0.350919622
-0.006887032,0.041013591
-0.257833536,-0.109165786
-0.256388372,-0.303102723
0.007608837,0.116116478
-0.152152926,0.03291218
-0.025455855,0.146318363
0.317849949,0.117903318
-0.07684913,-0.158675702
-0.177931995,-0.251658878
-0.285768949,-0.181031754
0.047241078,-0.101044508
0.097069051,0.15336855
-0.192191816,0.278014106
-0.441974138,-0.549157387
-0.004683221,-0.065918626
-0.041484824,-0.330540441
-0.327058087,0.077053801
-0.388141586,-0.411475291
-0.084819749,-0.538118261
-0.156202858,-0.009926458
-0.322213483,-0.210735519
-0.254607523,-0.174008532
-0.538705061,-0.051493669
-0.109271203,-0.044033635
-0.069801642,0.085785774
-0.273703454,-0.252007746
-0.036640401,-0.362704882
0.154232941,0.068238544
-0.108379684,-0.089353505
-0.321064719,-0.286469147
0.293399493,-0.007123606
0.173106173,0.006574938
-0.172112478,-0.254688376
-0.376277072,-0.693377156
0.077045803,-0.113109449
-0.059363226,0.061563833
0.312891611,0.246672258
0.272197823,0.278498396
-0.350303125,-0.484757959
-0.248296952,-0.505951394
0.087091837,-0.1501762
-0.342699594,-0.297878294
0.048134833,-0.104570958
-0.228542987,-0.064557599
0.080882528,-0.011835134
-0.200850802,-0.134890344
0.094559894,0.080640352
0.631743002,0.51980239
0.166053691,0.017580982
-0.224925865,-0.110408712
-0.236419657,-0.1706333
-0.328570226,-0.336557807
0.167801478,0.153364686
0.186433599,0.098660907
-0.125499078,-0.223848962
0.076085894,0.004215225
0.00746576,0.025422471
0.413044241,0.329260291
-0.094776322,0.060343617
-0.489759506,-0.245092593
0.096499455,-0.047080196
-0.150739802,-0.081559393
0.131430257,0.282644736
0.266742131,-0.065625982
-0.128818792,-0.164403823
0.085617425,-0.112211035
0.129468912,-7.50E-06
0.236844542,0.060158505
-0.247887187,-0.034951118
-0.238978965,-0.569018417
-0.073199492,0.017909191
-0.125726672,-0.44314815
-0.091926786,-0.094631547
-0.11224963,-0.265433712
0.082975545,-0.01155104
-0.061755224,-0.110470911
-0.341529306,-0.220373347
0.25419268,0.140213621
-0.005250203,-0.110515916
-0.082942672,-0.06530423
0.240658946,0.004364437
-0.283390706,-0.08542654
-0.035930857,-0.341895705
-0.233206863,-0.27103299
0.378599915,-0.110242955
-0.343071943,-0.188360897
0.186002083,0.413788579
0.01129358,-0.049225673
0.285572796,0.211767663
0.138629218,0.176166528
0.082522901,-0.12868028
0.042162493,-0.302370651
-0.249733418,-0.333104573
-0.267854593,-0.170915437
-0.120887158,-0.128962428
-0.337268186,-0.009696885
0.338356597,0.101389477
-0.450503223,0.08095541
-0.004186586,-0.07988242
-0.431467036,-0.464439372
0.041467508,0.017073795
-0.146789564,-0.130419091
0.18332232,0.075642308
-0.209982335,0.059127746
0.060152821,-0.000532759
-0.082188849,-0.152498296
-0.102879656,-0.116288473
0.075147277,0.214018768
-0.259863353,-0.177581349
-0.01370465,-0.212643091
-0.173361049,-0.315294587
