PubMed ID,Total Citations,Citations per Year,Expected Citations per Year,Field Citation Rate,Relative Citation Ratio,NIH Percentile,Year,Title,Authors,Journal,Article?
20211274,21,6.75,3.84,4.59,1.76,70.6,2011,NanoParticle Ontology for cancer nanotechnology research.,"Thomas, Dennis G; Pappu, Rohit V; Baker, Nathan A",J Biomed Inform,TRUE
20222956,25,6.08,6.08,9.43,1.00,50,2010,Genome-wide functional analysis of human 5' untranslated region introns.,"Cenik, Can; Derti, Adnan; Mellor, Joseph C; Berriz, Gabriel F; Roth, Frederick P",Genome Biol.,TRUE
20305652,34,8.27,6.17,9.60,1.34,61.1,2010,Direct determination of molecular haplotypes by chromosome microdissection.,"Ma, Li; Xiao, Yan; Huang, Hui; Wang, Qingwei; Rao, Weinian; Feng, Yue; Zhang, Kui; Song, Qing",Nat. Methods,TRUE
20307317,5,1.22,5.22,7.71,0.23,11.7,2010,Evidence of perturbations of cell cycle and DNA repair pathways as a consequence of human and murine NF1-haploinsufficiency.,"Pemov, Alexander; Park, Caroline; Reilly, Karlyne M; Stewart, Douglas R",BMC Genomics,TRUE
20334679,27,6.57,4.33,5.93,1.52,65.5,2010,Alignment and clustering of phylogenetic markers--implications for microbial diversity studies.,"White, James R; Navlakha, Saket; Nagarajan, Niranjan; Ghodsi, Mohammad-Reza; Kingsford, Carl; Pop, Mihai",BMC Bioinformatics,TRUE
20336069,132,32.12,6.89,11.05,4.67,92.8,2010,Chromatin signature of embryonic pluripotency is established during genome activation.,"Vastenhouw, Nadine L; Zhang, Yong; Woods, Ian G; Imam, Farhad; Regev, Aviv; Liu, X Shirley; Rinn, John; Schier, Alexander F",Nature,TRUE
20358117,2,0.49,4.04,5.34,0.12,5.9,2010,"Infrared light induced patterning of proteins on ppNIPAM thermoresponsive thin films: a ""protein laser printer"".","Cheng, Xuanhong; Yegan Erdem, E; Takeuchi, Shoji; Fujita, Hiroyuki; Ratner, Buddy D; Böhringer, Karl F",Lab Chip,TRUE
20379604,39,9.49,3.92,5.10,2.42,80.3,2010,Human mammalian cell sorting using a highly integrated micro-fabricated fluorescence-activated cell sorter (microFACS).,"Cho, Sung Hwan; Chen, Chun H; Tsai, Frank S; Godin, Jessica M; Lo, Yu-Hwa",Lab Chip,TRUE
20385882,57,13.87,3.35,3.95,4.14,91.2,2010,Practice parameter update: evaluation and management of driving risk in dementia: report of the Quality Standards Subcommittee of the American Academy of Neurology.,"Iverson, D J; Gronseth, G S; Reger, M A; Classen, S; Dubinsky, R M; Rizzo, M;",Neurology,FALSE
20393307,1,0.24,5.90,9.08,0.04,2.6,2010,Impact of gene patents and licensing practices on access to genetic testing for hearing loss.,"Chandrasekharan, Subhashini; Fiffer, Melissa",Genet. Med.,TRUE
