Name,Bin.Center,Freq.Dist
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.845,2.12E-05
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.855,3.70E-05
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.865,2.65E-05
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.875,5.29E-06
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.885,1.06E-05
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.915,5.29E-06
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.925,5.29E-06
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.935,5.29E-06
BLOOD,0.005,8.620632026
BLOOD,0.015,10.62393287
BLOOD,0.025,10.95130489
BLOOD,0.035,10.23436866
BLOOD,0.045,9.009209924
BLOOD,0.055,7.757146896
BLOOD,0.065,6.549358133
BLOOD,0.075,5.517734911
BLOOD,0.085,4.606167273
BLOOD,0.095,3.846956802
BLOOD,0.105,3.241966523
BLOOD,0.115,2.702702703
BLOOD,0.125,2.279960197
BLOOD,0.135,1.914149572
BLOOD,0.145,1.605325624
BLOOD,0.155,1.358995237
BLOOD,0.165,1.166363834
BLOOD,0.175,0.99781478
BLOOD,0.185,0.855676859
BLOOD,0.195,0.741265148
BLOOD,0.205,0.641757644
BLOOD,0.215,0.549592655
BLOOD,0.225,0.483592221
BLOOD,0.235,0.426468558
BLOOD,0.245,0.364824317
BLOOD,0.255,0.326769272
BLOOD,0.265,0.283919675
BLOOD,0.275,0.250522195
BLOOD,0.285,0.225590524
BLOOD,0.295,0.201371187
BLOOD,0.305,0.178439529
BLOOD,0.315,0.1573435
BLOOD,0.325,0.137726933
BLOOD,0.335,0.124493969
BLOOD,0.345,0.11164457
BLOOD,0.355,0.103178761
BLOOD,0.365,0.090932105
BLOOD,0.375,0.080822449
BLOOD,0.385,0.073945692
BLOOD,0.395,0.06432919
BLOOD,0.405,0.056274343
BLOOD,0.415,0.051096226
BLOOD,0.425,0.044904405
BLOOD,0.435,0.040876981
BLOOD,0.445,0.036986545
BLOOD,0.455,0.034822147
BLOOD,0.465,0.031671441
BLOOD,0.475,0.027863197
BLOOD,0.485,0.023917965
BLOOD,0.495,0.019205606
BLOOD,0.505,0.019178208
BLOOD,0.515,0.018356285
BLOOD,0.525,0.014219272
BLOOD,0.535,0.013726118
BLOOD,0.545,0.012383643
