Name,Bin.Center,Freq.Dist
BLOOD,0.095,0.432879559
BLOOD,0.105,0.329207644
BLOOD,0.115,0.252850978
BLOOD,0.125,0.195206763
BLOOD,0.135,0.161206539
BLOOD,0.145,0.129507701
BLOOD,0.155,0.106028094
BLOOD,0.165,0.086219745
BLOOD,0.175,0.070027858
BLOOD,0.185,0.060137382
BLOOD,0.195,0.050137316
BLOOD,0.205,0.044000289
BLOOD,0.215,0.03553448
BLOOD,0.225,0.032767339
BLOOD,0.235,0.027808402
BLOOD,0.245,0.023863171
BLOOD,0.255,0.022356311
BLOOD,0.265,0.0181919
BLOOD,0.275,0.015205579
BLOOD,0.285,0.015315169
BLOOD,0.295,0.012822002
BLOOD,0.305,0.011205553
BLOOD,0.315,0.010027463
BLOOD,0.325,0.009369925
BLOOD,0.335,0.007616488
BLOOD,0.345,0.007698681
BLOOD,0.355,0.006356206
BLOOD,0.365,0.005534283
BLOOD,0.375,0.005808257
BLOOD,0.385,0.004575373
BLOOD,0.395,0.003863039
BLOOD,0.405,0.004246603
BLOOD,0.415,0.003123308
BLOOD,0.425,0.002520565
BLOOD,0.435,0.002383577
BLOOD,0.445,0.002109603
BLOOD,0.455,0.001945218
BLOOD,0.465,0.002109603
BLOOD,0.475,0.001506859
BLOOD,0.485,0.001397269
BLOOD,0.495,0.001315077
BLOOD,0.505,0.001205487
BLOOD,0.515,0.000904116
BLOOD,0.525,0.0010685
BLOOD,0.535,0.000849321
BLOOD,0.545,0.000849321
BLOOD,0.555,0.000630141
BLOOD,0.565,0.000575346
BLOOD,0.575,0.000356167
BLOOD,0.585,0.000246577
BLOOD,0.595,0.000328769
BLOOD,0.605,0.000383564
BLOOD,0.615,0.000301372
BLOOD,0.625,0.000328769
BLOOD,0.635,0.000136987
BLOOD,0.645,8.22E-05
BLOOD,0.655,0.000191782
BLOOD,0.665,0.000191782
BLOOD,0.675,0.000136987
BLOOD,0.685,0.00010959
BLOOD,0.695,0.000136987
BLOOD,0.705,0.000191782
BLOOD,0.715,8.22E-05
BLOOD,0.735,0.00010959
BLOOD,0.745,2.74E-05
BLOOD,0.755,8.22E-05
BLOOD,0.775,2.74E-05
BLOOD,0.815,2.74E-05
BLOOD,0.865,2.74E-05
SCIENCE,0.0025,130.4701452
SCIENCE,0.0075,34.53326161
SCIENCE,0.0125,14.67168729
SCIENCE,0.0175,7.055406132
SCIENCE,0.0225,3.948359333
SCIENCE,0.0275,2.455083378
SCIENCE,0.0325,1.552806168
SCIENCE,0.0375,1.1002331
SCIENCE,0.0425,0.758113681
SCIENCE,0.0475,0.581674736
SCIENCE,0.0525,0.466917698
SCIENCE,0.0575,0.372960373
SCIENCE,0.0625,0.278285817
SCIENCE,0.0675,0.21230052
SCIENCE,0.0725,0.167114936
SCIENCE,0.0775,0.162094316
SCIENCE,0.0825,0.126232742
SCIENCE,0.0875,0.101846871
SCIENCE,0.0925,0.093957325
SCIENCE,0.0975,0.076026538
SCIENCE,0.1025,0.076026538
SCIENCE,0.1075,0.058812982
SCIENCE,0.1125,0.060247445
SCIENCE,0.1175,0.049488973
SCIENCE,0.1225,0.049488973
SCIENCE,0.1275,0.040882195
SCIENCE,0.1325,0.034427111
SCIENCE,0.1375,0.028689259
SCIENCE,0.1425,0.017213556
SCIENCE,0.1475,0.028689259
SCIENCE,0.1525,0.015061861
SCIENCE,0.1575,0.020799713
SCIENCE,0.1625,0.021516945
SCIENCE,0.1675,0.020082482
SCIENCE,0.1725,0.01936525
SCIENCE,0.1775,0.024385871
SCIENCE,0.1825,0.011475704
SCIENCE,0.1875,0.01936525
SCIENCE,0.1925,0.015061861
SCIENCE,0.1975,0.011475704
SCIENCE,0.2025,0.010041241
SCIENCE,0.2075,0.009324009
SCIENCE,0.2125,0.013627398
SCIENCE,0.2175,0.006455083
SCIENCE,0.2225,0.007172315
SCIENCE,0.2275,0.00502062
SCIENCE,0.2325,0.010041241
SCIENCE,0.2375,0.009324009
SCIENCE,0.2425,0.008606778
SCIENCE,0.2475,0.011475704
SCIENCE,0.2525,0.007889546
SCIENCE,0.2575,0.003586157
SCIENCE,0.2625,0.003586157
SCIENCE,0.2675,0.00502062
SCIENCE,0.2725,0.003586157
SCIENCE,0.2775,0.00502062
SCIENCE,0.2825,0.005737852
SCIENCE,0.2875,0.007889546
SCIENCE,0.2925,0.004303389
SCIENCE,0.2975,0.000717231
SCIENCE,0.3025,0.002151694
SCIENCE,0.3075,0.001434463
SCIENCE,0.3125,0.002151694
SCIENCE,0.3175,0.004303389
SCIENCE,0.3225,0.001434463
SCIENCE,0.3275,0.004303389
SCIENCE,0.3325,0.002151694
SCIENCE,0.3375,0.002151694
SCIENCE,0.3425,0.001434463
SCIENCE,0.3475,0.002151694
SCIENCE,0.3525,0.002151694
SCIENCE,0.3575,0.000717231
SCIENCE,0.3625,0.002151694
SCIENCE,0.3675,0.001434463
SCIENCE,0.3725,0.004303389
SCIENCE,0.3775,0.003586157
SCIENCE,0.3925,0.001434463
SCIENCE,0.3975,0.002868926
SCIENCE,0.4025,0.001434463
SCIENCE,0.4125,0.000717231
SCIENCE,0.4175,0.000717231
SCIENCE,0.4225,0.000717231
SCIENCE,0.4275,0.001434463
SCIENCE,0.4375,0.000717231
SCIENCE,0.4425,0.002151694
SCIENCE,0.4575,0.002151694
SCIENCE,0.4625,0.000717231
SCIENCE,0.4725,0.000717231
SCIENCE,0.5125,0.000717231
GENETICS,0.005,45.64524879
GENETICS,0.015,23.67326318
GENETICS,0.025,11.67227589
GENETICS,0.035,6.490282638
GENETICS,0.045,3.883731035
GENETICS,0.055,2.4485593
GENETICS,0.065,1.637129348
GENETICS,0.075,1.091162458
GENETICS,0.085,0.7750493
GENETICS,0.095,0.571291937
GENETICS,0.105,0.421655615
GENETICS,0.115,0.322540835
GENETICS,0.125,0.256849975
GENETICS,0.135,0.199000882
GENETICS,0.145,0.160177712
GENETICS,0.155,0.131638826
GENETICS,0.165,0.098472013
GENETICS,0.175,0.082659927
GENETICS,0.185,0.065947967
GENETICS,0.195,0.061062932
GENETICS,0.205,0.048593239
GENETICS,0.215,0.036252099
GENETICS,0.225,0.031109957
GENETICS,0.235,0.026610583
GENETICS,0.245,0.021082781
GENETICS,0.255,0.021468441
GENETICS,0.265,0.015297871
GENETICS,0.275,0.012084033
GENETICS,0.285,0.011055605
GENETICS,0.295,0.013241015
GENETICS,0.305,0.010027176
GENETICS,0.315,0.005399249
GENETICS,0.325,0.005784909
GENETICS,0.335,0.006941891
GENETICS,0.345,0.005270695
GENETICS,0.355,0.00437082
GENETICS,0.365,0.004499374
GENETICS,0.375,0.004113713
GENETICS,0.385,0.002699624
GENETICS,0.395,0.002828178
GENETICS,0.405,0.002699624
GENETICS,0.415,0.002571071
GENETICS,0.425,0.001928303
GENETICS,0.435,0.001414089
